Depth,TotalNodes,PVNodes,ResearchedNodes,ResearchRate(%),Score,Time(s)
1,930,61,2,3.27869,20,0.0025227
2,2754,270,3,1.11111,-15,0.0073456
3,21352,4204,12,0.285442,50,0.0404439
4,92813,19396,15,0.0773355,-15,0.152588
5,165777,35318,9,0.0254828,90,0.277684
1,630,310,2,0.645161,-310,0.0003267
2,1132,277,2,0.722022,-340,0.0050751
3,44748,21131,3,0.0141972,-465,0.040608
4,29944,19523,0,0,-465,0.0420984
5,191394,74494,3,0.00402717,-460,0.389019
1,930,61,2,3.27869,20,0.0021285
2,2754,270,3,1.11111,-15,0.0058338
3,21352,4204,12,0.285442,50,0.0336769
4,92813,19396,15,0.0773355,-15,0.155775
5,165777,35318,9,0.0254828,90,0.256782
1,630,310,2,0.645161,-310,0.0004487
2,1132,277,2,0.722022,-340,0.0058439
3,44748,21131,3,0.0141972,-465,0.0422278
4,29944,19523,0,0,-465,0.0465426
5,191394,74494,3,0.00402717,-460,0.368252
1,155,53,2,3.77358,0,0.0001434
2,627,224,3,1.33929,-40,0.0005366
3,7320,2802,6,0.214133,-50,0.006653
4,48428,17490,6,0.0343053,-110,0.0519418
5,444026,139916,26,0.0185826,-135,0.577208
1,131,64,0,0,25,6.95e-05
2,656,212,2,0.943396,10,0.0008251
3,4312,2010,0,0,10,0.0019667
4,25165,10346,4,0.0386623,40,0.0263805
5,404779,162647,37,0.0227487,-25,0.3553
1,582,276,1,0.362319,10,0.0004213
2,636,347,1,0.288184,-30,0.0010548
3,58146,27967,5,0.0178782,-75,0.0394673
4,87927,41256,10,0.0242389,-120,0.121825
5,3525777,1671708,6,0.000358914,-50,2.21117
1,530,257,0,0,185,0.0006851
2,1495,392,2,0.510204,165,0.0021639
3,40402,19312,1,0.00517813,175,0.019772
4,197516,66100,3,0.00453858,155,0.238156
5,588805,248061,1,0.000403127,210,0.475527
1,1646,676,0,0,-150,0.0026232
2,3408,1122,2,0.178253,-150,0.0093056
3,234967,99802,15,0.0150298,-150,0.239975
4,759141,209412,4,0.00191011,-190,2.06289
5,13939612,6395304,8,0.000125092,-140,11.2511
1,610,270,0,0,30,0.0004233
2,1476,409,1,0.244499,20,0.0038523
3,54303,22589,4,0.0177077,20,0.0515649
4,256892,92141,18,0.0195353,-15,0.501324
5,3292049,1410281,16,0.00113453,-10,2.96114
1,128,61,0,0,150,8.29e-05
2,6661,1805,0,0,90,0.0089624
3,10477,3734,6,0.160686,155,0.0097884
4,373962,157308,1,0.000635696,90,0.280563
5,970975,387008,24,0.00620142,155,1.01975
1,1037,515,2,0.38835,0,0.0004796
2,4218,1483,2,0.134862,-50,0.0075422
3,299916,148354,5,0.00337032,-35,0.128304
4,873953,221526,10,0.00451414,-50,1.54277
5,7339037,3321898,14,0.000421446,-40,4.31297
1,198,59,3,5.08475,185,0.0002549
2,2781,998,4,0.400802,135,0.0030197
3,10883,4336,5,0.115314,110,0.0108571
4,118158,52525,4,0.00761542,110,0.133443
5,235141,95817,6,0.00626194,80,0.275035
1,121,59,0,0,45,6.56e-05
2,1001,416,1,0.240385,70,0.0017328
3,5522,2120,3,0.141509,70,0.0059227
4,93832,43813,3,0.00684728,115,0.0482087
5,298012,112299,11,0.00979528,35,0.30769
1,237,65,1,1.53846,-35,0.0003522
2,607,173,0,0,-35,0.0007558
3,25977,8538,5,0.0585617,-90,0.0267037
4,39851,11744,1,0.00851499,-155,0.0486628
5,354570,140926,6,0.00425755,-110,0.273162
1,262,118,1,0.847458,-135,0.0001761
2,1145,443,0,0,-175,0.0014178
3,13246,4860,6,0.123457,-145,0.0275656
4,603852,290396,10,0.00344357,-90,0.360164
5,99290,65846,2,0.00303739,-95,0.121483
1,102,46,2,4.34783,-5,6.86e-05
2,341,123,0,0,-15,0.0004111
3,5052,2131,5,0.234632,-55,0.0042782
4,55707,24847,15,0.0603695,-25,0.0406356
5,256415,92978,9,0.00967971,-40,0.326714
1,91,43,1,2.32558,-10,5.21e-05
2,1596,554,3,0.541516,40,0.0013723
3,834,305,0,0,40,0.0005386
4,25752,11451,13,0.113527,80,0.0134916
5,35793,12152,3,0.0246873,80,0.0381325
1,1386,507,2,0.394477,-50,0.0027562
2,2618,1078,1,0.0927644,-70,0.0041226
3,97488,44768,13,0.0290386,-40,0.0719781
4,335670,147783,8,0.00541334,-70,0.388212
5,3484483,1612662,6,0.000372056,-70,2.22943
1,320,157,0,0,380,0.0001711
2,2668,997,7,0.702106,305,0.0048785
3,18368,8611,1,0.0116131,320,0.012535
4,137225,44478,3,0.00674491,290,0.329645
5,532887,227988,4,0.00175448,330,0.628325
1,240,94,1,1.06383,60,0.0002782
2,777,245,1,0.408163,60,0.0010911
3,4454,1838,0,0,60,0.003465
4,30300,13005,0,0,60,0.0225143
5,139363,55909,2,0.00357724,10,0.134959
1,172,81,0,0,225,9.77e-05
2,2801,975,2,0.205128,175,0.003428
3,5164,2049,3,0.146413,185,0.003968
4,120284,45985,12,0.0260955,185,0.0994388
5,258206,119249,4,0.00335433,245,0.233929
1,82,32,0,0,100,9.04e-05
2,482,159,2,1.25786,110,0.0006246
3,3448,1309,1,0.0763942,60,0.0035035
4,36682,14878,10,0.0672133,20,0.0267729
5,207280,81660,8,0.00979672,30,0.172311
1,275,131,0,0,10,0.0002002
2,1423,456,5,1.09649,-60,0.0019336
3,24421,10816,2,0.0184911,-80,0.0165031
4,88162,33586,7,0.020842,-130,0.102133
5,2515192,1092012,37,0.00338824,-90,1.87053
1,162,77,1,1.2987,100,9.93e-05
2,4196,1151,2,0.173762,30,0.0107722
3,19670,7716,5,0.0648004,80,0.0242828
4,403204,166227,21,0.0126333,50,0.453585
5,822819,228874,6,0.00262153,90,1.92331
1,759,375,1,0.266667,-125,0.0003119
2,614,229,0,0,-170,0.000633
3,43780,21060,1,0.00474834,-220,0.0180093
4,42436,30059,1,0.00332679,-255,0.0565614
5,242271,96715,3,0.0031019,-185,0.15333
1,110,52,0,0,115,7.17e-05
2,395,140,0,0,20,0.0003547
3,8844,4020,4,0.0995025,-230,0.0056134
4,7962,3682,2,0.0543183,-240,0.0083268
5,60164,24557,2,0.00814432,-260,0.0440245
1,378,175,1,0.571429,60,0.0002511
2,4512,1493,3,0.200938,-40,0.0106197
3,34144,15606,1,0.00640779,10,0.0345205
4,265960,93630,8,0.00854427,-5,0.944553
5,1374248,586722,1,0.000170438,0,1.82886
1,504,246,0,0,140,0.0003117
2,1621,460,4,0.869565,105,0.0023827
3,21009,9141,6,0.0656383,105,0.012761
4,137118,60426,3,0.00496475,90,0.17775
5,1571047,716066,19,0.00265339,120,1.26718
1,562,278,0,0,60,0.0002951
2,2026,611,4,0.654664,60,0.0041272
3,36959,17722,1,0.0056427,80,0.0192036
4,120427,51954,2,0.00384956,40,0.235437
5,540719,233532,10,0.00428207,95,0.955903
1,148,70,1,1.42857,80,8.66e-05
2,272,148,1,0.675676,-55,0.0003263
3,649,290,2,0.689655,40,0.0004501
4,8039,3051,7,0.229433,-80,0.0073047
5,8453,4519,2,0.0442576,60,0.0090691
1,689,262,0,0,10,0.0005996
2,1651,549,6,1.0929,-30,0.0020098
3,122527,50718,9,0.0177452,-30,0.0857232
4,205720,107408,3,0.00279309,-95,0.186731
5,4463793,1977309,11,0.000556312,-65,2.66928
1,472,187,2,1.06952,-10,0.0005122
2,985,314,3,0.955414,-40,0.003094
3,41078,18392,9,0.0489343,-30,0.034222
4,85835,36422,8,0.0219647,-40,0.185985
5,464019,205878,15,0.00728587,30,0.512159
1,87,34,1,2.94118,260,7.13e-05
2,1892,529,10,1.89036,315,0.0020563
3,2062,830,4,0.481928,355,0.0013254
4,16030,6917,12,0.173486,450,0.0117084
5,12258,4737,1,0.0211104,405,0.0128345
1,576,229,0,0,-10,0.0006968
2,1678,624,0,0,-10,0.0027081
3,78835,38281,1,0.00261226,-20,0.0395557
4,222454,98274,7,0.00712294,-10,0.275842
5,2130584,959332,15,0.00156359,-5,2.79207
1,215,103,1,0.970874,-40,0.0001137
2,1601,629,2,0.317965,-70,0.0023987
3,13734,5593,1,0.0178795,-95,0.0121369
4,178871,85105,5,0.0058751,-140,0.645599
5,1223467,605741,16,0.00264139,-160,1.19588
1,960,464,2,0.431034,-50,0.0004223
2,1810,519,0,0,-120,0.0017953
3,150086,67435,10,0.0148291,-190,0.0908185
4,91527,44795,4,0.00892957,-235,0.144614
5,1501179,683904,9,0.00131597,-210,0.738576
1,188,83,1,1.20482,80,0.0001167
2,2406,966,6,0.621118,50,0.0018129
3,13710,5550,6,0.108108,60,0.0094103
4,231059,101063,8,0.00791585,25,0.173059
5,1426247,450631,8,0.00177529,40,2.01048
1,484,239,0,0,160,0.0003219
2,2219,628,0,0,70,0.0045578
3,87070,41971,10,0.023826,120,0.0429128
4,295677,120822,6,0.00496598,60,0.447915
5,2116980,1014769,8,0.000788357,90,1.22766
1,162,70,1,1.42857,240,0.0001279
2,394,205,1,0.487805,240,0.0006682
3,1074,377,0,0,240,0.0012786
4,10374,4269,5,0.117123,230,0.0078239
5,29485,13909,0,0,230,0.0363992
1,97,44,0,0,-40,6.3e-05
2,581,215,1,0.465116,-80,0.0005655
3,4075,1492,4,0.268097,-60,0.0040061
4,22411,9804,9,0.0917993,-60,0.0190035
5,163729,62457,15,0.0240165,-50,0.1404
1,235,98,2,2.04082,-180,0.0001532
2,905,391,3,0.767263,-200,0.0005445
3,5780,2054,7,0.340798,-230,0.0051211
4,21387,7183,3,0.0417653,-235,0.0392585
5,269671,78679,14,0.0177938,-180,0.322892
1,506,250,0,0,165,0.0003558
2,2401,719,2,0.278164,-10,0.0044535
3,91610,41951,11,0.0262211,15,0.051952
4,272952,106845,12,0.0112312,-45,0.300008
5,5282414,2420769,21,0.000867493,-15,2.92135
1,488,241,0,0,120,0.0001997
2,1358,414,3,0.724638,80,0.0031492
3,55998,25797,6,0.0232585,60,0.0346665
4,130439,51667,15,0.0290321,80,0.215217
5,2545463,1163143,15,0.00128961,30,1.87503
1,736,226,1,0.442478,-70,0.0010153
2,1851,389,4,1.02828,-190,0.0033169
3,32737,13877,6,0.043237,-190,0.0228418
4,67310,18534,6,0.0323729,-165,0.106069
5,2364493,1086585,50,0.00460157,-270,1.32804
1,395,190,0,0,50,0.0002944
2,1424,572,1,0.174825,0,0.0025495
3,60493,27813,11,0.0395499,25,0.0478075
4,421203,113437,3,0.00264464,-35,1.11481
5,4616918,2090312,32,0.00153087,-5,3.75085
1,302,116,2,1.72414,-50,0.0003689
2,822,323,2,0.619195,-60,0.0010023
3,9354,4209,2,0.0475172,-50,0.0054592
4,211084,97853,11,0.0112414,-90,0.166013
5,312743,135350,4,0.0029553,-40,0.280016
1,900,444,0,0,-50,0.0004189
2,1838,571,2,0.350263,-50,0.0035184
3,49046,22132,4,0.0180734,-35,0.0357204
4,490771,186856,4,0.00214069,-65,0.896478
5,3462658,1492922,8,0.000535862,-45,3.52795
1,306,150,0,0,145,0.0001926
2,1204,298,1,0.33557,145,0.0031171
3,9809,4106,2,0.0487092,200,0.0082439
4,125065,48794,3,0.0061483,170,0.279014
5,147377,60644,2,0.00329794,245,0.343303
1,316,82,0,0,200,0.0004662
2,7662,838,8,0.954654,95,0.0148038
3,16625,3420,13,0.380117,190,0.0253056
4,137464,22501,15,0.0666637,115,0.24002
5,243340,48216,9,0.018666,170,0.398912
1,502,247,1,0.404858,-30,0.0002288
2,2452,628,3,0.477707,-60,0.0107188
3,72560,33273,12,0.0360653,-50,0.0733363
4,479064,171415,5,0.0029169,-60,1.05361
5,3060482,1317600,21,0.00159381,-45,4.25886
1,679,332,1,0.301205,50,0.0003895
2,3392,1080,5,0.462963,10,0.0085065
3,89640,43551,6,0.013777,40,0.0476871
4,165608,70968,1,0.00140909,20,0.411708
5,4189481,1956375,9,0.000460035,20,2.95301
1,562,226,3,1.32743,-430,0.0003588
2,689,244,5,2.04918,-440,0.0005611
3,9159,4373,0,0,-410,0.0037165
4,19410,9366,3,0.0320307,-385,0.0094698
5,62843,24191,6,0.0248026,-400,0.0519681
1,329,154,0,0,20,0.0002311
2,1010,419,0,0,20,0.0026037
3,52442,24859,9,0.0362042,-65,0.0517995
4,431520,201636,11,0.00545538,-10,0.961213
5,1081636,509379,9,0.00176686,-10,1.2541
1,802,324,2,0.617284,-150,0.0005525
2,1499,398,1,0.251256,-215,0.0016298
3,42561,20123,1,0.00496944,-245,0.0210601
4,28980,22074,0,0,-245,0.0382971
5,193957,69471,1,0.00143945,-260,0.1735
1,150,72,0,0,80,9.08e-05
2,2173,898,2,0.222717,10,0.0048658
3,38140,11207,7,0.062461,-45,0.0743359
4,204194,94557,3,0.00317269,-50,0.150239
5,1853693,576809,27,0.00468093,-25,4.14663
1,1051,510,1,0.196078,-155,0.0004966
2,1565,720,1,0.138889,-205,0.002531
3,79039,36599,9,0.0245908,-195,0.0594788
4,165274,77740,2,0.00257268,-205,0.581777
5,1740300,696829,20,0.00287014,-185,2.28537
1,408,201,0,0,200,0.0002503
2,2734,843,4,0.474496,130,0.0077437
3,59480,28955,5,0.0172682,145,0.0311434
4,200511,52617,4,0.00760211,110,0.632537
5,2340659,1054446,17,0.00161222,115,2.14284
1,328,138,2,1.44928,-160,0.0002766
2,587,123,2,1.62602,-165,0.0010559
3,5203,1968,5,0.254065,-130,0.0045288
4,17072,7742,4,0.0516662,-165,0.0231322
5,49960,14142,10,0.0707114,-155,0.0851574
1,412,202,1,0.49505,-50,0.0002116
2,1656,653,1,0.153139,-90,0.0037929
3,17397,6757,4,0.0591979,-60,0.0182985
4,1134104,515986,18,0.00348847,-50,1.12549
5,390596,191168,5,0.0026155,25,0.44177
1,182,77,1,1.2987,80,0.0001645
2,3209,846,2,0.236407,30,0.0068469
3,20474,7256,14,0.192944,100,0.0363355
4,340680,134000,8,0.00597015,70,0.406793
5,621888,231928,15,0.00646752,105,1.30965
1,260,116,1,0.862069,195,0.0002504
2,869,339,2,0.589971,150,0.0011832
3,16740,7681,6,0.0781148,90,0.0132143
4,153240,70272,11,0.0156535,100,0.112987
5,646042,281611,55,0.0195305,30,0.751171
1,368,181,0,0,220,0.0002362
2,1693,435,0,0,145,0.0043368
3,50412,24676,4,0.0162101,145,0.0255943
4,181028,49408,5,0.0101198,155,0.499555
5,481955,184039,9,0.00489027,210,0.752539
1,73,30,1,3.33333,-110,5.75e-05
2,229,96,1,1.04167,-110,0.00016
3,857,227,1,0.440529,-110,0.0011598
4,9066,4119,4,0.0971109,-110,0.0065435
5,17615,6889,0,0,-130,0.0289727
1,138,65,1,1.53846,85,8.73e-05
2,6601,2981,4,0.134183,260,0.0061462
3,1787,624,1,0.160256,300,0.0019103
4,165592,81759,3,0.00366932,310,0.0819307
5,352177,204616,5,0.0024436,160,0.342518
1,1450,720,2,0.277778,-235,0.0004908
2,786,503,2,0.397614,-135,0.000983
3,5447,1739,3,0.172513,-150,0.0082179
4,101899,50124,5,0.00997526,-65,0.0421555
5,253391,138138,6,0.00434348,-45,0.196368
1,316,146,2,1.36986,-70,0.0001858
2,1974,903,3,0.332226,-85,0.0013484
3,5209,2367,0,0,-85,0.0036105
4,85596,39542,5,0.0126448,-75,0.109179
5,500564,216828,21,0.0096851,-110,0.574887
1,404,195,0,0,40,0.000211
2,2660,850,0,0,40,0.0083359
3,31676,14634,0,0,135,0.0272509
4,566244,267406,6,0.00224378,175,0.598273
5,1007207,455256,6,0.00131794,160,1.98914
1,146,70,0,0,240,0.0001173
2,2051,603,2,0.331675,110,0.0039684
3,2729,1130,1,0.0884956,230,0.0018155
4,121758,36438,8,0.0219551,150,0.190873
5,182229,68376,8,0.0117,190,0.202675
1,224,69,2,2.89855,60,0.0002607
2,2784,1045,11,1.05263,-60,0.0025786
3,16029,5269,14,0.265705,-50,0.0165247
4,81701,29321,16,0.0545684,-100,0.0781278
5,688338,252966,15,0.00592965,-105,0.637219
1,426,145,3,2.06897,30,0.000414
2,2282,636,3,0.471698,-25,0.0027991
3,43048,18024,11,0.0610297,5,0.0295332
4,107727,40241,5,0.0124251,-30,0.12013
5,1245083,515759,19,0.00368389,-5,0.910014
1,168,81,0,0,135,8.11e-05
2,4175,1311,1,0.0762777,25,0.0074083
3,13140,4317,8,0.185314,105,0.0235028
4,329982,122606,6,0.00489372,70,0.643835
5,725216,186322,9,0.00483035,115,2.03804
1,180,66,2,3.0303,0,0.0001568
2,1070,456,5,1.09649,45,0.0007674
3,2069,1058,4,0.378072,140,0.0020578
4,13929,6376,3,0.0470514,230,0.0071807
5,162805,63026,2,0.00317329,285,0.214886
1,259,124,1,0.806452,-240,0.0002231
2,858,277,4,1.44404,-230,0.0010269
